ID,Date,Close,Clo_by_High_min95,Close_by_Low_min95,1D_r,1D_r_cat,2D_r,2D_r_cat,3D_r,3D_r_cat,5D_r,5D_r_cat,macd_5_3_1,macd_5_3_2,RSI_3,RSI_3_Category,STOC_3_K,STOCK_3_K_CAT,STOCK_7_K-D,CCI_3,CCI_5,NEXTDRET
7779,11/17/2016,2187.12,4.96,5.48,0.47,PP50,0.31,PP50,1.06,P15,0.91,P10,6,-0.08,86.3,HIGH,95.7,SHIGH,2.82,100,100.9,TNEG
7780,11/18/2016,2181.9,4.64,5.07,-0.24,NP25,0.23,PP25,0.07,PP10,0.81,P10,4.21,-0.62,66.2,HIGH,54.8,HIGH,-10.22,51.08,83.99,TPOS
7781,11/21/2016,2198.18,4.98,5.54,0.75,P10,0.51,P10,0.98,P10,1.57,P25,5.63,0.26,83.8,HIGH,97.6,SHIGH,6.63,100,139.7,TPOS
7782,11/22/2016,2202.94,4.92,5.38,0.22,PP25,0.96,P10,0.72,P10,1.03,P15,5.96,0.2,86.8,HIGH,92.4,SHIGH,4.71,84.98,110.36,TPOS
7783,11/23/2016,2204.72,5,5.47,0.08,PP10,0.3,PP50,1.05,P15,1.28,P15,5.37,-0.13,88.1,HIGH,99.6,SHIGH,1.51,56.44,78.8,TPOS
7784,11/25/2016,2213.35,5,5.32,0.39,PP50,0.47,PP50,0.69,P10,1.2,P15,5.72,0.07,92.9,SHIGH,100,SHIGH,1.34,100,116.59,TNEG
7785,11/28/2016,2201.72,4.57,5.06,-0.53,N1,-0.14,NP25,-0.06,NP10,0.91,P10,2.94,-0.9,51,HIGH,38.3,LOW,-21.06,-21.49,31.76,TPOS
7786,11/29/2016,2204.66,4.74,5.3,0.13,PP25,-0.39,NP50,0,NP10,0.29,PP50,2.02,-0.61,58.1,HIGH,42.8,LOW,-7.01,-49.81,1.15,TNEG
7787,11/30/2016,2198.82,4.31,5.02,-0.26,NP50,-0.13,NP25,-0.66,N1,-0.19,NP25,0.4,-0.74,40.5,LOW,4.2,SLOW,-17.47,-100,-33.32,TNEG
7788,12/1/2016,2191.08,4.48,5.17,-0.35,NP50,-0.62,N1,-0.48,NP50,-0.62,N1,-1.5,-0.88,25.3,LOW,13.7,SLOW,-30.37,-100,-166.67,TNEG
7789,12/2/2016,2191.95,4.73,5.16,0.04,PP10,-0.31,NP50,-0.58,N1,-0.97,N1,-1.73,-0.37,29.7,LOW,16.9,SLOW,-8.2,-56.75,-89.35,TNEG
7790,12/5/2016,2204.71,4.79,5.22,0.58,P10,0.62,P10,0.27,PP50,0.14,PP25,0.6,0.65,69.6,HIGH,78.6,HIGH,33,100,60.55,TNEG
7791,12/6/2016,2212.23,4.98,5.45,0.34,PP50,0.93,P10,0.97,P10,0.34,PP50,2.53,0.86,79.8,HIGH,97.7,SHIGH,34.76,73.21,91,TNEG
7792,12/7/2016,2241.35,4.99,6.47,1.32,P15,1.66,P25,2.25,P25,1.93,P25,7.61,1.98,93.1,SHIGH,99.3,SHIGH,13.73,100,149.01,TNEG
7793,12/8/2016,2246.19,4.76,5.39,0.22,PP25,1.54,P25,1.88,P25,2.52,P100,8.84,1.07,94.1,SHIGH,88.9,HIGH,-3.2,87.77,111.55,TNEG
7794,12/9/2016,2259.53,4.99,5.46,0.59,P10,0.81,P10,2.14,P25,3.08,P100,10,0.74,96.3,SHIGH,99.5,SHIGH,2.78,91.32,101.21,TNEG
7795,12/12/2016,2256.96,4.69,5.2,-0.11,NP25,0.48,PP50,0.7,P10,2.37,P25,8.29,-0.32,87,HIGH,73.3,HIGH,-3.25,60.14,75.42,TNEG
7796,12/13/2016,2271.72,4.74,5.37,0.65,P10,0.54,P10,1.14,P15,2.69,P100,8.8,0.06,92.9,SHIGH,79.5,HIGH,-1.75,100,109.71,TNEG
7797,12/14/2016,2253.28,3.99,5.22,-0.81,N1,-0.16,NP25,-0.28,NP50,0.53,P10,4.43,-1.44,50.2,HIGH,16.6,SLOW,-15.85,-40.74,16.72,TPOS
7798,12/15/2016,2262.03,4.56,5.37,0.39,PP50,-0.43,NP50,0.22,PP25,0.71,P10,3.69,-0.72,62.5,HIGH,46.7,LOW,-1.83,-24.7,19.85,TNEG
7798,12/15/2016,2262.03,4.56,5.37,0.39,PP50,-0.43,NP50,0.22,PP25,0.71,P10,3.69,-0.72,62.5,HIGH,46.7,LOW,-1.83,-24.7,19.85,TNEG
7799,12/16/2016,2258.07,4.56,5.17,-0.18,NP25,0.21,PP25,-0.6,N1,-0.06,NP10,2.17,-0.75,53.5,HIGH,34.7,LOW,-14.2,-29.16,-36.58,TPOS
7800,12/19/2016,2262.53,4.78,5.19,0.2,PP25,0.02,PP10,0.41,PP50,0.25,PP25,2.05,-0.29,62.6,HIGH,47.7,LOW,-10.61,52.82,-8.53,TNEG
7801,12/20/2016,2270.76,4.92,5.2,0.36,PP50,0.56,P10,0.39,PP50,-0.04,NP10,3.03,0.23,75.7,HIGH,90.2,SHIGH,17.91,100,166.67,TNEG
7802,12/21/2016,2265.18,4.73,5,-0.25,NP25,0.12,PP25,0.31,PP50,0.53,P10,1.93,-0.29,55.8,HIGH,48.6,LOW,-3.36,15.75,55.92,TNEG
7803,12/22/2016,2260.96,4.9,5.22,-0.19,NP25,-0.43,NP50,-0.07,NP10,-0.05,NP10,0.54,-0.56,43,LOW,29.6,LOW,-14.69,-100,-72.22,TNEG
7804,12/23/2016,2263.79,5,5.22,0.13,PP25,-0.06,NP10,-0.31,NP50,0.25,PP50,0.45,-0.21,53.7,HIGH,50.9,HIGH,1.34,-24.51,-45.63,TPOS
7805,12/27/2016,2268.88,4.78,5.12,0.22,PP25,0.35,PP50,0.16,PP25,0.28,PP50,1.2,0.18,69.3,HIGH,72.2,HIGH,17.04,100,68.83,TNEG
7806,12/28/2016,2249.92,4.06,5,-0.84,N1,-0.61,N1,-0.49,NP50,-0.92,N1,-1.91,-0.98,24.1,SLOW,0,SLOW,-42.7,-88.09,-98.99,TNEG
7807,12/29/2016,2249.26,4.77,5.21,-0.03,NP10,-0.86,N1,-0.64,N1,-0.7,N1,-2.74,-0.6,23.3,SLOW,16.1,SLOW,-14.21,-84.85,-132.72,TNEG
7808,12/30/2016,2238.83,4.35,5.23,-0.46,NP50,-0.49,NP50,-1.32,N15,-0.98,N1,-4.3,-0.72,13.1,SLOW,13.8,SLOW,3.29,-99.23,-113.33,TNEG
7809,1/3/2017,2257.83,4.73,5.57,0.85,P10,0.38,PP50,0.35,PP50,-0.26,NP50,-0.93,0.88,60.5,HIGH,80,HIGH,30.47,93.99,8.01,TNEG
7810,1/4/2017,2270.75,4.91,5.4,0.57,P10,1.43,P15,0.96,P10,0.08,PP10,2.5,1.44,74.6,HIGH,94.7,SHIGH,37.18,97.93,131.9,TNEG
7811,1/5/2017,2269,4.89,5.38,-0.08,NP10,0.49,PP50,1.35,P15,0.85,P10,2.93,0.62,69.5,HIGH,86.2,HIGH,7.81,41.26,78.1,TNEG
7812,1/6/2017,2276.98,4.78,5.57,0.35,PP50,0.27,PP50,0.85,P10,1.23,P15,3.92,0.54,79.2,HIGH,76.4,HIGH,-0.5,100,84.92,TNEG
