ID,Date,Open,High,Low,Close,Volume,Adj Close
1,1/14/86,206.720001,207.369995,206.059998,206.639999,113900000,206.639999
2,1/15/86,206.639999,208.270004,206.639999,208.259995,122400000,208.259995
3,1/16/86,208.259995,209.179993,207.610001,209.169998,130500000,209.169998
4,1/17/86,209.169998,209.399994,207.589996,208.429993,132100000,208.429993
5,1/20/86,208.429993,208.429993,206.619995,207.529999,85340000,207.529999
6,1/21/86,207.529999,207.779999,205.050003,205.789993,128300000,205.789993
7,1/22/86,205.789993,206.029999,203.410004,203.490005,131200000,203.490005
8,1/23/86,203.490005,204.429993,202.600006,204.25,130300000,204.25
9,1/24/86,204.25,206.429993,204.25,206.429993,128900000,206.429993
10,1/27/86,206.429993,207.690002,206.429993,207.389999,122900000,207.389999
11,1/28/86,207.419998,209.820007,207.399994,209.809998,145700000,209.809998
12,1/29/86,209.809998,212.360001,209.809998,210.289993,193800000,210.289993
13,1/30/86,210.289993,211.539993,209.149994,209.330002,125300000,209.330002
14,1/31/86,209.330002,212.419998,209.190002,211.779999,143500000,211.779999
15,2/3/86,211.779999,214.179993,211.600006,213.960007,145300000,213.960007
16,2/4/86,213.960007,214.570007,210.820007,212.789993,175700000,212.789993
17,2/5/86,212.839996,213.029999,211.210007,212.960007,134300000,212.960007
18,2/6/86,212.960007,214.509995,212.600006,213.470001,146100000,213.470001
19,2/7/86,213.470001,215.270004,211.130005,214.559998,144400000,214.559998
20,2/10/86,214.559998,216.240005,214.470001,216.240005,129900000,216.240005
21,2/11/86,216.240005,216.669998,215.539993,215.919998,141300000,215.919998
22,2/12/86,215.919998,216.279999,215.130005,215.970001,136400000,215.970001
23,2/13/86,215.970001,217.410004,215.380005,217.399994,136500000,217.399994
24,2/14/86,217.399994,219.759995,217.220001,219.759995,155600000,219.759995
25,2/18/86,219.759995,222.449997,219.259995,222.449997,160200000,222.449997
26,2/19/86,222.449997,222.960007,219.729996,219.759995,152000000,219.759995
27,2/20/86,219.759995,222.220001,219.220001,222.220001,139700000,222.220001
28,2/21/86,222.220001,224.619995,222.220001,224.619995,177600000,224.619995
29,2/24/86,224.580002,225.289993,223.309998,224.339996,144700000,224.339996
30,2/25/86,224.339996,224.399994,222.630005,223.789993,148000000,223.789993
31,2/26/86,223.720001,224.589996,223.149994,224.039993,158000000,224.039993
32,2/27/86,224.039993,226.880005,223.410004,226.770004,181700000,226.770004
33,2/28/86,226.770004,227.919998,225.419998,226.919998,191700000,226.919998
34,3/3/86,226.919998,226.919998,224.410004,225.419998,142700000,225.419998
35,3/4/86,225.419998,227.330002,223.940002,224.380005,174500000,224.380005
36,3/5/86,224.139999,224.369995,222.179993,224.339996,154600000,224.339996
37,3/6/86,224.389999,225.5,224.130005,225.130005,159000000,225.130005
38,3/7/86,225.130005,226.330002,224.440002,225.570007,163200000,225.570007
39,3/10/86,225.570007,226.979996,225.360001,226.580002,129900000,226.580002
40,3/11/86,226.580002,231.809998,226.580002,231.690002,187300000,231.690002
41,3/12/86,231.690002,234.699997,231.679993,232.539993,210300000,232.539993
42,3/13/86,232.539993,233.889999,231.270004,233.190002,171500000,233.190002
43,3/14/86,233.190002,236.550003,232.580002,236.550003,181900000,236.550003
44,3/17/86,236.550003,236.550003,233.690002,234.669998,137500000,234.669998
45,3/18/86,234.669998,236.520004,234.139999,235.779999,148000000,235.779999
46,3/19/86,235.779999,236.520004,235.130005,235.600006,150000000,235.600006
47,3/20/86,235.600006,237.089996,235.600006,236.539993,148000000,236.539993
48,3/21/86,236.539993,237.350006,233.289993,233.339996,199100000,233.339996
49,3/24/86,233.339996,235.330002,232.919998,235.330002,143800000,235.330002
50,3/25/86,235.330002,235.330002,233.619995,234.720001,139300000,234.720001
51,3/26/86,234.720001,237.789993,234.710007,237.300003,161500000,237.300003
52,3/27/86,237.300003,240.110001,237.300003,238.970001,178100000,238.970001
53,3/31/86,238.970001,239.860001,238.080002,238.899994,134400000,238.899994
54,4/1/86,238.899994,239.100006,234.570007,235.139999,167400000,235.139999
55,4/2/86,235.139999,235.710007,233.399994,235.710007,145300000,235.710007
56,4/3/86,235.710007,236.419998,232.070007,232.470001,148200000,232.470001
57,4/4/86,232.470001,232.559998,228.320007,228.690002,147300000,228.690002
58,4/7/86,228.690002,228.830002,226.300003,228.630005,129800000,228.630005
59,4/8/86,228.630005,233.699997,228.630005,233.520004,146300000,233.520004
60,4/9/86,233.520004,235.570007,232.130005,233.75,156300000,233.75
61,4/10/86,233.75,236.539993,233.75,236.440002,184800000,236.440002
62,4/11/86,236.440002,237.850006,235.130005,235.970001,139400000,235.970001
63,4/14/86,235.970001,237.479996,235.429993,237.279999,106700000,237.279999
64,4/15/86,237.279999,238.089996,236.639999,237.729996,123700000,237.729996
65,4/16/86,237.729996,242.570007,237.729996,242.220001,173800000,242.220001
66,4/17/86,242.220001,243.360001,241.889999,243.029999,161400000,243.029999
67,4/18/86,243.029999,243.470001,241.740005,242.380005,153600000,242.380005
68,4/21/86,242.380005,244.779999,241.880005,244.740005,136100000,244.740005
69,4/22/86,244.740005,245.470001,241.300003,242.419998,161500000,242.419998
70,4/23/86,242.419998,242.419998,240.080002,241.75,149700000,241.75
71,4/24/86,241.75,243.130005,241.649994,242.020004,146600000,242.020004
72,4/25/86,242.020004,242.800003,240.910004,242.289993,142300000,242.289993
73,4/28/86,242.289993,243.080002,241.229996,243.080002,123900000,243.080002
74,4/29/86,243.080002,243.570007,239.229996,240.509995,148800000,240.509995
75,4/30/86,240.520004,240.520004,235.259995,235.520004,147500000,235.520004
76,5/1/86,235.520004,236.009995,234.210007,235.160004,146500000,235.160004
77,5/2/86,235.160004,236.520004,234.149994,234.789993,126300000,234.789993
78,5/5/86,234.789993,237.729996,234.789993,237.729996,102400000,237.729996
79,5/6/86,237.729996,238.279999,236.259995,237.240005,121200000,237.240005
80,5/7/86,236.559998,237.240005,233.979996,236.080002,129900000,236.080002
81,5/8/86,236.080002,237.960007,236.080002,237.130005,136000000,237.130005
82,5/9/86,237.130005,238.009995,235.850006,237.850006,137400000,237.850006
83,5/12/86,237.850006,238.529999,237.020004,237.580002,125400000,237.580002
84,5/13/86,237.580002,237.869995,236.020004,236.410004,119200000,236.410004
85,5/14/86,236.410004,237.539993,235.850006,237.539993,132100000,237.539993
86,5/15/86,237.539993,237.539993,233.929993,234.429993,131600000,234.429993
87,5/16/86,234.429993,234.429993,232.259995,232.759995,113500000,232.759995
88,5/19/86,232.759995,233.539993,232.410004,233.199997,85840000,233.199997
89,5/20/86,233.199997,236.119995,232.580002,236.110001,113000000,236.110001
90,5/21/86,236.110001,236.830002,235.449997,235.449997,117100000,235.449997
91,5/22/86,235.449997,240.25,235.449997,240.119995,144900000,240.119995
92,5/23/86,240.119995,242.160004,240.119995,241.350006,130200000,241.350006
93,5/27/86,241.350006,244.759995,241.350006,244.75,121200000,244.75
94,5/28/86,244.75,247.399994,244.75,246.630005,159600000,246.630005
95,5/29/86,246.630005,248.320007,245.289993,247.979996,135700000,247.979996
96,5/30/86,247.979996,249.190002,246.429993,247.350006,151200000,247.350006
97,6/2/86,246.039993,247.740005,243.830002,245.039993,120600000,245.039993
98,6/3/86,245.039993,245.509995,243.669998,245.509995,114700000,245.509995
99,6/4/86,245.509995,246.300003,242.589996,243.940002,117000000,243.940002
100,6/5/86,243.940002,245.660004,243.410004,245.649994,110900000,245.649994
101,6/6/86,245.649994,246.070007,244.429993,245.669998,110900000,245.669998
102,6/9/86,245.669998,245.669998,239.679993,239.960007,123300000,239.960007
103,6/10/86,239.960007,240.080002,238.229996,239.580002,125000000,239.580002
104,6/11/86,239.580002,241.130005,239.210007,241.130005,127400000,241.130005
105,6/12/86,241.240005,241.639999,240.699997,241.490005,109100000,241.490005
106,6/13/86,241.710007,245.910004,241.710007,245.729996,141200000,245.729996
107,6/16/86,245.729996,246.5,245.169998,246.130005,112100000,246.130005
108,6/17/86,246.130005,246.259995,243.600006,244.350006,123100000,244.350006
109,6/18/86,244.350006,245.25,242.570007,244.990005,117000000,244.990005
110,6/19/86,244.990005,245.800003,244.050003,244.059998,129000000,244.059998
111,6/20/86,244.059998,247.600006,243.979996,247.580002,149100000,247.580002
112,6/23/86,247.580002,247.580002,244.449997,245.259995,123800000,245.259995
113,6/24/86,245.259995,248.259995,244.529999,247.029999,140600000,247.029999
114,6/25/86,247.029999,250.130005,247.029999,248.929993,161800000,248.929993
115,6/26/86,248.929993,249.429993,247.720001,248.740005,134100000,248.740005
116,6/27/86,248.740005,249.740005,248.740005,249.600006,123800000,249.600006
117,6/30/86,249.600006,251.809998,249.600006,250.839996,135100000,250.839996
118,7/1/86,250.669998,252.039993,250.529999,252.039993,147700000,252.039993
119,7/2/86,252.039993,253.199997,251.789993,252.699997,150000000,252.699997
120,7/3/86,252.699997,252.940002,251.229996,251.789993,108300000,251.789993
